Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
14B7 ,14B,18/May/18,1A,14.4,16.2,822.5067989,40.95007798,0.3116245524,,,,,
14B8 ,14B,18/May/18,1B,,,801.8149649,39.08717986,0.3098644749,,,,,
14B9 ,14B,18/May/18,2A,,,812.0871147,41.89434502,0.3102925431,,,,,
14B10 ,14B,18/May/18,2B,,,807.3139834,41.80251482,0.3119503809,,,,,
68-6 ,68,18/May/18,Atm,,,426.1533717,2.009362132,0.3288271224,,,,,
68-7 ,68,18/May/18,1A,10.6,12,1619.034,728.975,0.294,1619.034,728.975,0.294,REPLACED,
68-8 ,68,18/May/18,1B,10.6,12,1666.285341,713.8240075,0.3190573828,,,,,
68-9 ,68,18/May/18,2A,10.6,12,1706.246463,709.5066171,0.3275928638,,,,,
68-10 ,68,18/May/18,2B,10.6,12,1679.976296,702.7422558,0.323641438,,,,,
14A6 ,14A,18/May/18,Atm,,,422.8380478,1.983023577,0.3291524304,,,,,
14A7 ,14A,18/May/18,1A,11.3,12.2,245.609,24.561,0.277,245.609,24.561,0.277,REPLACED,
14A8 ,14A,18/May/18,1B,11.3,12.2,227.9870289,24.31966919,0.2992650719,,,,,
14A9 ,14A,18/May/18,2A,11.3,12.2,206.7824122,23.39552421,0.283887735,,,,,
14A10 ,14A,18/May/18,2B,11.3,12.2,256.791,22.921,0.26,256.791,22.921,0.26,REPLACED,
32C6 ,32C,17/May/18,Atm,,,423.3144486,2.053148875,0.3242955833,,,,,
32C7 ,32C,17/May/18,1A,13.4,13.3,403.6032703,61.06434593,0.3057037164,,,,,
32C8 ,32C,17/May/18,1B,13.4,13.3,401.3495346,61.43694622,0.3067750425,,,,,
32C9 ,32C,17/May/18,2A,,,454.3079496,2.085407561,0.3384591894,533.217,2.214,0.341,NO,REMOVE
32C10 ,32C,17/May/18,2B,,,427.8792487,1.937365963,0.3311263898,,,,,
23-6 ,23,17/May/18,Atm,,,437.6516319,2.34003202,0.3305693707,,,,,
23-7 ,23,17/May/18,1A,13.3,13.4,137.201,1487.827,0.282,137.201,1487.827,0.282,REPLACED,
23-8 ,23,17/May/18,1B,13.3,13.4,78.53418198,1421.724673,0.2988813862,,,,,
23-9 ,23,17/May/18,2A,13.3,13.4,115.965,1474.012,0.262,115.965,1474.012,0.262,REPLACED,
23-10 ,23,17/May/18,2B,13.3,13.4,100.791,1472.876,0.261,100.791,1472.876,0.261,REPLACED,
61B6 ,61B,15/May/18,Atm,,,426.2378265,2.16624448,0.3244624736,,,,,
61B7 ,61B,15/May/18,1A,16.5,19.5,1268.266944,28.5441165,0.4190272721,,,,,
61B8 ,61B,15/May/18,1B,16.5,19.5,1286.511189,28.57392306,0.4236132142,,,,,
61B9 ,61B,15/May/18,2A,16.5,19.6,1236.653027,23.80945186,0.4169120553,,,,,
61B10 ,61B,15/May/18,2B,16.5,19.6,1278.026297,24.98760374,0.4187826138,,,,,
61C6 ,61C,15/May/18,Atm,,,437.0742794,2.764880422,0.3315406958,,,,,
61C7 ,61C,15/May/18,1A,17.6,18.7,938.0652848,92.353247,0.3442741995,,,,,
61C8 ,61C,15/May/18,1B,17.6,18.7,949.4934152,94.154051,0.3419486311,,,,,
61C9 ,61C,15/May/18,2A,17.6,19.7,881.655,97.032,0.312,881.655,97.032,0.312,REPLACED,
61C10 ,61C,15/May/18,2B,17.6,19.7,910.3446873,94.60781696,0.3313215108,,,,,
4D6 ,4D,16/May/18,Atm,,,432.2084333,2.352566139,0.3252350473,,,,,
4D7 ,4D,16/May/18,1A,19.4,20.6,104.958,629.396,0.321,104.958,629.396,0.321,REPLACED,
4D8 ,4D,16/May/18,1B,19.4,20.6,67.94284938,608.8629596,0.3495388788,,,,,
4D9 ,4D,16/May/18,2A,19.4,20.2,103.6,617.15,0.302,103.6,617.15,0.302,REPLACED,
4D10 ,4D,16/May/18,2B,19.4,20.2,62.30748081,605.0079237,0.3321780758,,,,,
